scenario,n,avgComp,maxComp,avgPointerOps,maxPointerOps,avgHeight,maxHeight
1,10000,5004.26,19962,11258.5,29998,5000,10000
1,20000,10001.8,39910,22504.8,59998,10000,20000
1,30000,15002.7,59882,33756.1,89998,15000,30000
1,40000,19995.9,79814,44995.9,119998,20000,40000
1,50000,24993,99732,56241.6,149998,25000,50000
1,60000,30002.4,119986,67505.8,179998,30000,60000
1,70000,35012.7,139850,78771.1,209998,35000,70000
1,80000,40003.1,159790,90006.8,239998,40000,80000
1,90000,45007.4,179738,101263,269998,45000,90000
1,100000,49985,199724,112480,299998,50000,100000
2,10000,19.4645,56,48.9279,109,26.9118,35
2,20000,21.4494,58,53.4537,126,29.8313,37
2,30000,22.5437,63,56.2352,125,31.9141,39
2,40000,23.0782,62,57.5128,130,32.3364,40
2,50000,23.3684,64,58.0295,130,32.8001,42
2,60000,24.0576,67,59.8828,136,34.5221,42
2,70000,24.6492,70,61.5249,153,35.8905,44
2,80000,24.817,68,61.6361,142,35.7146,44
2,90000,25.2769,66,62.8833,145,35.9027,42
2,100000,25.7183,68,63.5497,139,36.2281,43
