n,k,comparisons
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
200,200,553
300,1,889
300,1,889
300,1,889
300,1,889
300,1,889
300,1,889
300,1,889
300,1,889
300,1,889
300,1,889
300,1,889
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,1,830
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,831
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,75,918
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,894
300,150,907
300,150,907
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,225,684
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,868
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
300,300,799
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1174
400,1,1071
400,1,1071
400,1,1071
400,1,1071
400,1,1071
400,1,1071
400,1,1071
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,100,1058
400,200,1066
400,200,1066
