epoch,train_accuracy,validation_accuracy,train_cross_entropy,validation_cross_entropy
1,0.550497512437811,0.46286472148541113,2.7931939839816944,2.81874656171336
2,0.8844941956882255,0.7950928381962865,1.57636921097275,1.7418654635417399
3,0.9722222222222222,0.8789787798408488,0.33063716256503356,0.6175104242464377
4,0.9925373134328358,0.9041777188328912,0.0810734935369313,0.38747861560018737
5,0.9976782752902156,0.9041777188328912,0.025684684673647293,0.346684617111001
6,0.998922056384743,0.90815649867374,0.010948663780269112,0.3414195687988948
7,0.9995854063018242,0.90815649867374,0.005287533025621474,0.3407243076688275
8,0.9996683250414594,0.9101458885941645,0.0032101726097868003,0.347677700781507
9,0.9995024875621891,0.9101458885941645,0.0023762124810423543,0.358651120115879
10,0.9997512437810945,0.9104774535809018,0.0014847730815295925,0.3617786614440145
11,0.9996683250414594,0.9111405835543767,0.0011982880589646921,0.36881311894283314
12,0.9999170812603648,0.9111405835543767,0.0010592902984583822,0.37541347372908185
13,0.9997512437810945,0.9098143236074271,0.0007372630400417276,0.37552500667260075
14,0.9995854063018242,0.9144562334217506,0.0010065745972971491,0.382414095804155
15,0.9995854063018242,0.9134615384615384,0.0012231564759295043,0.3939057332256017
16,0.9999170812603648,0.9131299734748011,0.0005502538044845593,0.3889022241193419
17,0.9998341625207297,0.9134615384615384,0.0004824719987722049,0.4022362284234699
18,0.9998341625207297,0.9141246684350133,0.0006333455636661458,0.4047219166903168
19,0.9998341625207297,0.9127984084880637,0.0005290234770542151,0.40707041474497163
20,0.9998341625207297,0.9147877984084881,0.0004339283477037408,0.4118884218835402
21,0.9998341625207297,0.9157824933687002,0.0005247750098648372,0.41815284984095896
22,0.9997512437810945,0.9134615384615384,0.0007837913730528094,0.4230363462343256
23,0.9998341625207297,0.9147877984084881,0.0007635005255036882,0.4247736265616203
24,0.9997512437810945,0.9147877984084881,0.0005964317026493211,0.4286349160046486
25,0.9997512437810945,0.9121352785145889,0.0008040630512299291,0.43512654843789067
26,0.9997512437810945,0.9151193633952255,0.00043739376583659364,0.42756207997064066
27,0.9996683250414594,0.9137931034482759,0.0006609448453522186,0.44096846073837115
28,0.9998341625207297,0.9137931034482759,0.00034440056070172547,0.44659931986945633
29,0.9999170812603648,0.9137931034482759,0.0002721267595759063,0.4477779870760839
30,0.9998341625207297,0.911472148541114,0.00024715224481924945,0.4566359112899523
31,0.9998341625207297,0.911472148541114,0.00046607201519750796,0.45221184467402864
32,0.9999170812603648,0.9127984084880637,0.00016736373082439752,0.45368528778830497
33,0.9999170812603648,0.916445623342175,0.00014935520836674958,0.45283894338733144
34,0.9999170812603648,0.9134615384615384,0.0001556876932551083,0.46256605304316833
35,0.9997512437810945,0.9147877984084881,0.0005113340667609112,0.4655206229910524
36,0.9999170812603648,0.9141246684350133,0.00013947602773169338,0.46132796554723876
37,0.9997512437810945,0.9088196286472149,0.0005113582550661951,0.47924880018715804
38,0.9999170812603648,0.9111405835543767,0.00015084730964468225,0.4827548765077737
39,0.9998341625207297,0.9111405835543767,0.0006618068379719056,0.48881505002819564
40,1.0,0.9118037135278515,0.0001588986092901616,0.477064752780255
41,0.9999170812603648,0.9094827586206896,0.00023924819866057663,0.48897287370027404
42,0.9998341625207297,0.9144562334217506,0.0002968945052602738,0.4811142919953616
43,0.9999170812603648,0.9131299734748011,0.00013797360351674472,0.4869293337706104
44,0.9999170812603648,0.9121352785145889,0.0001508155924068961,0.4903244575593312
45,0.9999170812603648,0.9118037135278515,0.0001648533165116381,0.49640476752563967
46,0.9999170812603648,0.9118037135278515,0.0001213035012865472,0.5001008543928165
47,0.9999170812603648,0.9104774535809018,0.00014031529105427702,0.503657864300684
48,0.9999170812603648,0.9118037135278515,0.00015398294803528528,0.5049782175958429
49,1.0,0.9118037135278515,0.00011655977426961884,0.5033061111164299
50,0.9999170812603648,0.9118037135278515,0.00018752017760158952,0.5067033548517357
51,0.9999170812603648,0.9134615384615384,0.00017539118151832668,0.5095217568165323
52,0.9998341625207297,0.9124668435013262,0.00028446198047000815,0.5107158720097256
53,0.9998341625207297,0.90815649867374,0.000571163122670353,0.5437363734280035
