Model,TestAccuracy
Linear SVM,0.9347480106100796
Logistic Regression,0.9344827586206896
Adam,0.9275862068965517
Naive Bayes,0.9185676392572945
Random Forest,0.8342175066312998
KNN,0.8021220159151193
Dummy Majority,0.05305039787798409
