epoch,train_accuracy,validation_accuracy
1,0.5561359867330017,0.49137931034482757
2,0.8633499170812604,0.7788461538461539
3,0.9669154228855721,0.8627320954907162
4,0.9913764510779436,0.8892572944297082
5,0.996268656716418,0.8955570291777188
6,0.9987562189054726,0.9018567639257294
7,0.9992537313432835,0.9038461538461539
8,0.9994195688225539,0.9051724137931034
9,0.9995024875621891,0.9048408488063661
10,0.9996683250414594,0.9051724137931034
11,0.9990878938640133,0.9028514588859416
12,0.9996683250414594,0.903183023872679
13,0.9998341625207297,0.906498673740053
14,0.9997512437810945,0.9045092838196287
15,0.9998341625207297,0.9035145888594165
16,0.9998341625207297,0.9035145888594165
17,0.9998341625207297,0.9041777188328912
18,0.9996683250414594,0.9048408488063661
19,0.9997512437810945,0.9041777188328912
20,0.9999170812603648,0.9041777188328912
21,0.9999170812603648,0.9051724137931034
22,0.9996683250414594,0.9018567639257294
23,0.9998341625207297,0.9068302387267905
24,0.9999170812603648,0.9051724137931034
25,0.9999170812603648,0.9055039787798409
26,0.9999170812603648,0.903183023872679
27,0.9998341625207297,0.9035145888594165
28,0.9999170812603648,0.9028514588859416
29,1.0,0.9051724137931034
30,0.9996683250414594,0.9021883289124668
31,0.9998341625207297,0.9028514588859416
32,0.9998341625207297,0.9015251989389921
33,0.9999170812603648,0.9021883289124668
34,0.9998341625207297,0.9048408488063661
35,0.9997512437810945,0.9025198938992043
36,0.9998341625207297,0.9038461538461539
37,0.9999170812603648,0.9035145888594165
38,0.9999170812603648,0.9035145888594165
39,0.9999170812603648,0.9035145888594165
40,0.9999170812603648,0.9028514588859416
41,0.9997512437810945,0.9055039787798409
42,0.9999170812603648,0.9028514588859416
43,0.9998341625207297,0.9028514588859416
