Model,TestAccuracy
Linear SVM,0.9347480106100796
Logistic Regression,0.9344827586206896
Naive Bayes,0.9185676392572945
Adam,0.9148541114058355
Random Forest,0.8342175066312998
KNN,0.8021220159151193
